gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species
AS3MT,57412,ENSG00000214435,AS3MT,57412,ENSG00000214435,57412,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX4I1,1327,ENSG00000131143,COX4I1,1327,ENSG00000131143,1327,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX4I2,84701,ENSG00000131055,COX4I2,84701,ENSG00000131055,84701,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX5A,9377,ENSG00000178741,COX5A,9377,ENSG00000178741,9377,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX5B,1329,ENSG00000135940,COX5B,1329,ENSG00000135940,1329,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6A1,1337,ENSG00000111775,COX6A1,1337,ENSG00000111775,1337,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6A2,1339,ENSG00000156885,COX6A2,1339,ENSG00000156885,1339,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6B1,1340,ENSG00000126267,COX6B1,1340,ENSG00000126267,1340,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6B2,125965,ENSG00000160471,COX6B2,125965,ENSG00000160471,125965,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6C,1345,ENSG00000164919,COX6C,1345,ENSG00000164919,1345,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A1,1346,ENSG00000161281,COX7A1,1346,ENSG00000161281,1346,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A2,1347,ENSG00000112695,COX7A2,1347,ENSG00000112695,1347,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A2L,9167,ENSG00000115944,COX7A2L,9167,ENSG00000115944,9167,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7B,1349,ENSG00000131174,COX7B,1349,ENSG00000131174,1349,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7C,1350,ENSG00000127184,COX7C,1350,ENSG00000127184,1350,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX8A,1351,ENSG00000176340,COX8A,1351,ENSG00000176340,1351,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX8C,341947,ENSG00000187581,COX8C,341947,ENSG00000187581,341947,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
GSTO1,9446,ENSG00000148834,GSTO1,9446,ENSG00000148834,9446,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
MT-CO1,4512,ENSG00000198804,MT-CO1,4512,ENSG00000198804,4512,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
MT-CO2,4513,ENSG00000198712,MT-CO2,4513,ENSG00000198712,4513,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
MT-CO3,4514,ENSG00000198938,MT-CO3,4514,ENSG00000198938,4514,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
AKR1A1,10327,ENSG00000117448,AKR1A1,10327,ENSG00000117448,10327,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
AKR1C1,1645,ENSG00000187134,AKR1C1,1645,ENSG00000187134,1645,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
AKR1C2,1646,ENSG00000151632,AKR1C2,1646,ENSG00000151632,1646,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
AKR1C3,8644,ENSG00000196139,AKR1C3,8644,ENSG00000196139,8644,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
AKR1C4,1109,ENSG00000198610,AKR1C4,1109,ENSG00000198610,1109,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
CYP1A1,1543,ENSG00000140465,CYP1A1,1543,ENSG00000140465,1543,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
CYP1B1,1545,ENSG00000138061,CYP1B1,1545,ENSG00000138061,1545,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
EPHX1,2052,ENSG00000143819,EPHX1,2052,ENSG00000143819,2052,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
EPHX2,2053,ENSG00000120915,EPHX2,2053,ENSG00000120915,2053,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
EPHX3,79852,ENSG00000105131,EPHX3,79852,ENSG00000105131,79852,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
EPHX4,253152,ENSG00000172031,EPHX4,253152,ENSG00000172031,253152,M47812,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: B[a]P -- (CYP1A1,CYP1B1) >> EH >> AKR -> C22355 -> Semiquinone -> Superoxide",HS,,,N01401,https://www.kegg.jp/entry/N01401,2026.1.Hs,HS
GSTA1,2938,ENSG00000243955,GSTA1,2938,ENSG00000243955,2938,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTA2,2939,ENSG00000244067,GSTA2,2939,ENSG00000244067,2939,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTA3,2940,ENSG00000174156,GSTA3,2940,ENSG00000174156,2940,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTA4,2941,ENSG00000170899,GSTA4,2941,ENSG00000170899,2941,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTA5,221357,ENSG00000182793,GSTA5,221357,ENSG00000182793,221357,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTM1,2944,ENSG00000134184,GSTM1,2944,ENSG00000134184,2944,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTM2,2946,ENSG00000213366,GSTM2,2946,ENSG00000213366,2946,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTM3,2947,ENSG00000134202,GSTM3,2947,ENSG00000134202,2947,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTM4,2948,ENSG00000168765,GSTM4,2948,ENSG00000168765,2948,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTM5,2949,ENSG00000134201,GSTM5,2949,ENSG00000134201,2949,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTO1,9446,ENSG00000148834,GSTO1,9446,ENSG00000148834,9446,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTO2,119391,ENSG00000065621,GSTO2,119391,ENSG00000065621,119391,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTP1,2950,ENSG00000084207,GSTP1,2950,ENSG00000084207,2950,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTT1,2952,ENSG00000277656,GSTT1,2952,ENSG00000277656,2952,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTT2,2953,ENSG00000099984,GSTT2,2953,ENSG00000099984,2953,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
GSTT2B,653689,ENSG00000133433,GSTT2B,653689,ENSG00000133433,653689,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
MGST1,4257,ENSG00000008394,MGST1,4257,ENSG00000008394,4257,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
MGST2,4258,ENSG00000085871,MGST2,4258,ENSG00000085871,4258,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
MGST3,4259,ENSG00000143198,MGST3,4259,ENSG00000143198,4259,M47809,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: DCE -- GST -> C20304 -> C14874 == DNA,HS,,,N01386,https://www.kegg.jp/entry/N01386,2026.1.Hs,HS
DLL1,28514,ENSG00000198719,DLL1,28514,ENSG00000198719,28514,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
DLL3,10683,ENSG00000090932,DLL3,10683,ENSG00000090932,10683,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
DLL4,54567,ENSG00000128917,DLL4,54567,ENSG00000128917,54567,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
EGF,1950,ENSG00000138798,EGF,1950,ENSG00000138798,1950,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
ESR1,2099,ENSG00000091831,ESR1,2099,ENSG00000091831,2099,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
ESR2,2100,ENSG00000140009,ESR2,2100,ENSG00000140009,2100,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
FGF9,2254,ENSG00000102678,FGF9,2254,ENSG00000102678,2254,M47805,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 => (EGF,FGF9,DLL)",HS,,,N01364,https://www.kegg.jp/entry/N01364,2026.1.Hs,HS
ARAF,369,ENSG00000078061,ARAF,369,ENSG00000078061,369,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
BRAF,673,ENSG00000157764,BRAF,673,ENSG00000157764,673,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
CHRNA9,55584,ENSG00000174343,CHRNA9,55584,ENSG00000174343,55584,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
ESR1,2099,ENSG00000091831,ESR1,2099,ENSG00000091831,2099,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
ESR2,2100,ENSG00000140009,ESR2,2100,ENSG00000140009,2100,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
FOS,2353,ENSG00000170345,FOS,2353,ENSG00000170345,2353,M47801,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,"Pathway Definition from KEGG: E2 -> ESR1/2 -> SRC -> RAS -> RAF -> MEK -> ERK -> (ESR1/2,AP1) => CHRNA9",HS,,,N01353,https://www.kegg.jp/entry/N01353,2026.1.Hs,HS
